epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0907,0.92991,4.00709,1.35754,1,0.05,0.045,0.02825,0.73915,4.49531,1.63329,0.0006,0.0006,0.0006
2,30.2681,1.04214,1.89948,1.4771,0.78947,0.75,0.70693,0.31393,1.28554,3.50395,2.26565,0.00122487,0.00122487,0.00122487
3,43.3279,1.09476,1.26341,1.58172,0.482,0.825,0.64695,0.31594,1.63233,5.29163,3.1608,0.00180573,0.00180573,0.00180573
4,56.2951,1.14333,1.32879,1.61859,0.54625,0.87284,0.6823,0.30163,1.75184,2.44346,2.94602,0.001802,0.001802,0.001802
5,69.3421,1.04917,1.14109,1.53997,0.71739,0.825,0.73736,0.37773,1.45613,13.418,3.25589,0.001736,0.001736,0.001736
6,81.9126,1.00938,1.06941,1.46072,0.95833,0.575,0.93763,0.53546,1.44318,5.7529,3.30908,0.00167,0.00167,0.00167
7,94.305,1.00311,0.9004,1.44702,0.77778,0.525,0.65107,0.24673,1.86624,12.1891,3.83962,0.001604,0.001604,0.001604
8,106.913,1.00262,0.90881,1.42703,0.54613,0.975,0.93185,0.42303,1.59848,9.34215,3.26914,0.001538,0.001538,0.001538
9,119.583,0.86788,0.78576,1.33061,0.63196,0.975,0.91286,0.52666,1.38177,4.93352,2.89707,0.001472,0.001472,0.001472
10,132.57,0.86179,0.71913,1.29689,0.86489,0.85,0.92296,0.61613,1.13272,1.94824,1.97817,0.001406,0.001406,0.001406
11,145.235,0.83662,0.71618,1.31493,0.83656,0.89582,0.88848,0.60643,1.03859,1.97605,1.86534,0.00134,0.00134,0.00134
12,157.761,0.81575,0.68455,1.29397,0.82583,0.975,0.97978,0.69619,1.01189,1.39753,1.83351,0.001274,0.001274,0.001274
13,170.522,0.8149,0.68525,1.30972,0.91157,0.975,0.99034,0.72078,0.9464,1.55019,1.73758,0.001208,0.001208,0.001208
14,183.565,0.76929,0.6564,1.25668,0.96075,0.975,0.98047,0.74847,0.9287,0.84965,1.72566,0.001142,0.001142,0.001142
15,196.151,0.81201,0.71261,1.25901,0.97343,1,0.995,0.75913,0.88734,0.9258,1.70268,0.001076,0.001076,0.001076
16,209.229,0.78011,0.65082,1.23606,0.95756,0.975,0.99035,0.76692,0.82674,0.75272,1.56843,0.00101,0.00101,0.00101
17,222.73,0.75482,0.64098,1.22547,0.99481,1,0.995,0.76542,0.86612,0.71322,1.49742,0.000944,0.000944,0.000944
18,235.143,0.74105,0.67702,1.22815,0.99748,1,0.995,0.7468,0.77478,0.59033,1.41329,0.000878,0.000878,0.000878
19,247.849,0.74838,0.60657,1.20996,0.99852,1,0.995,0.74562,0.84411,0.5733,1.43704,0.000812,0.000812,0.000812
20,260.601,0.67985,0.60183,1.16072,0.97556,1,0.995,0.78576,0.70448,0.51448,1.32064,0.000746,0.000746,0.000746
21,272.362,0.7056,0.96706,1.25122,0.97177,1,0.99378,0.78824,0.70211,0.589,1.30678,0.00068,0.00068,0.00068
22,284.619,0.61727,0.68732,1.20973,0.99628,1,0.995,0.7499,0.71643,0.86145,1.29238,0.000614,0.000614,0.000614
23,297.234,0.63583,0.58309,1.19376,0.99601,1,0.995,0.78245,0.75831,0.62058,1.31704,0.000548,0.000548,0.000548
24,309.495,0.62489,0.54858,1.21523,0.99877,1,0.995,0.80026,0.74564,0.50601,1.33779,0.000482,0.000482,0.000482
25,321.467,0.58554,0.51966,1.15279,0.99884,1,0.995,0.80871,0.67302,0.52068,1.26429,0.000416,0.000416,0.000416
26,333.566,0.57865,0.52204,1.14999,0.99851,1,0.995,0.81694,0.7107,0.50433,1.31452,0.00035,0.00035,0.00035
27,345.413,0.58311,0.48667,1.11811,0.99874,1,0.995,0.80392,0.72224,0.49349,1.334,0.000284,0.000284,0.000284
28,357.531,0.57682,0.45804,1.15739,0.99891,1,0.995,0.80184,0.66184,0.46967,1.26221,0.000218,0.000218,0.000218
29,369.542,0.56155,0.46344,1.11129,0.99894,1,0.995,0.8074,0.66177,0.48174,1.24767,0.000152,0.000152,0.000152
30,381.23,0.55633,0.4727,1.12418,0.99898,1,0.995,0.81579,0.66104,0.46439,1.25141,8.6e-05,8.6e-05,8.6e-05
